user_name,from,to,weekdays,arrive_before,leave_after,info
Mario,Via della Lovara 9 38012 Mollaro TN,Via Alpini 17 38017  Mezzolombardo  TN,Monday to Friday,08:00:00 AM,01:00:00 PM,Train
Jessica,Via alla Cascata 2 38123 Povo TN,Via Zambra 3 38121  Trento  TN,Monday to Saturday,08:00:00 AM,01:00:00 PM,Bus
Luca,Via Luigi Einaudi 60 38122 Trento TN,Via Cristoforo Madruzzo 24 38122  Trento  TN,Monday to Saturday,08:00:00 AM,01:00:00 PM,Wheelchair
Gian,Via Giuseppe Mazzini 35 38122 Trento TN,Corso Bettini 84 Rovereto 38068 TN,Monday to Wednesday,10:30:00 AM,02:30:00 PM,University student
Gaia,Via della Malpensada 140 38123 Trento TN,Via Giuseppe Verdi 26 38122 Trento,Friday,08:30:00 PM,01:00:00 PM,Varied schedule
Carla,Via Sommarive 9 Povo 38123 TN,Corso Inghilterra 27 Torino 10138 TO,Tuesday,,01:00:00 PM,Halloween   
Fausto,Calle dei Bergamaschi 568 30135 Venezia VE,Via Sommarive 14 38123 Povo TN,Monday,09:00:00 AM,11:00:00 AM,Seminary 
Lucia,Case Ferrovieri Porta Nuova 37138 Verona VR,Via Vigilio Inama 5 Trento 38122 TN,Monday to Sunday,08:30:00 AM,01:30:00 PM,Commuter
Anna,Via Gustavo Modena 32 38065 Mori TN,Via Santissima Trinita' 38 38122  Trento  TN,Monday to Friday,01:30:00 PM,07:00:00 PM,Janitor
Gaia,Via della Malpensada 140 38123 Trento TN,Via Giovanni Amendola 15 Bologna 40121 BO,Friday,,05:00:00 PM,Return to Trento by Sunday night before 9PM
